index	publishing_name	ad	dbd	gender	area	slide_code	objective	sampleId	tile	age	published_externally	effector	line	objectiveName	mounting_protocol	Reporter Code	JRC Genotype	label	filename	part_of	Template	comment
0	LH2453	GMR_20A02_BB_04	GMR_67F03_AV_01	Female	Brain	20121114_31_E5	20x	1845060921378996322	brain	Day 6-10	1	TLN-V5_myr-FLAG_Syt-HA_23_0038	GMR_MB072C	Plan-Apochromat 20x/0.8	DPX PBS Mounting	TLN-V5_myr-FLAG_Syt-HA_23_0038	w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b	JRC_LH2453_Brain_2019_20121114_31_E5_20x	20x-Brain-1845060921378996322	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP2/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8', mounting protocol: 'DPX PBS Mounting', slide_code: '20121114_31_E5', age: 'Day 6-10'
1	LH2456	GMR_38D01_BB_21	GMR_77F05_AV_01	Female	Brain	20130115_31_A1	20x	2268136045008650314	brain	Day 6-10	1	TLN-V5_myr-FLAG_Syt-HA_23_0037	GMR_MB036B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	TLN-V5_myr-FLAG_Syt-HA_23_0037	w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b	JRC_LH2456_Brain_2019_20130115_31_A1_20x	20x-Brain-2268136045008650314	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130115_31_A1', age: 'Day 6-10'
5	LH2451	GMR_54G12_XA_21	GMR_22B12_XD_01	Female	Brain	20130123_33_B1	20x	1852298186517905506	brain	Day 6-10	1	TLN-V5_myr-FLAG_Syt-HA_23_0037	GMR_SS00601	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	TLN-V5_myr-FLAG_Syt-HA_23_0037	w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b	JRC_LH2451_Brain_2019_20130123_33_B1_20x	20x-Brain-1852298186517905506	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'w;3XpJFRC-TLN-smV5 in su(Hw)attP5;5XUAS-IVS-myr::smFLAG in VK00005_pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1/CyO::TM6b', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130123_33_B1', age: 'Day 6-10'
9	LH2448	GMR_10E07_BB_21	GMR_53C10_AV_01	Female	Brain	20140411_32_G1	20x	1996778063358066786	brain	Day 1-5	1	IVS_myr_GFP_X_0072	GMR_MB295B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	IVS_myr_GFP_X_0072	pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18	JRC_LH2448_Brain_2019_20140411_32_G1_20x	20x-Brain-1996778063358066786	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140411_32_G1', age: 'Day 1-5'
11	LH2454	GMR_TH_BB_21	GMR_42H01_AV_01	Female	Brain	20140609_41_B3	20x	2022090243204710498	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_MB583B	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH2454_Brain_2019_20140609_41_B3_20x	20x-Brain-2022090243204710498	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140609_41_B3', age: 'Day 1-5'
13	LH2446	BJD_110F03_BB_21	GMR_55C09_AV_01	Female	Brain	20140617_41_F1	20x	2037250318328135778	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	GMR_SS01371	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH2446_Brain_2019_20140617_41_F1_20x	20x-Brain-2037250318328135778	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140617_41_F1', age: 'Day 1-5'
15	LH18	GMR_84F07_XA_21	GMR_10G01_AV_01	Female	Brain	20141114_44_G1	20x	2084467421808164962	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_IS15129	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH18_Brain_2019_20141114_44_G1_20x	20x-Brain-2084467421808164962	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141114_44_G1', age: 'Day 1-5'
17	LH374	GMR_13E04_XA_21	GMR_53B06_AV_01	Female	Brain	20141121_43_G3	20x	2084467454364352610	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_IS15112	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH374_Brain_2019_20141121_43_G3_20x	20x-Brain-2084467454364352610	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141121_43_G3', age: 'Day 1-5'
19	LH185	GMR_20A03_BB_21	GMR_30H02_AV_01	Female	Brain	20141212_41_A1	20x	2092815209646260322	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_IS15249	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH185_Brain_2019_20141212_41_A1_20x	20x-Brain-2092815209646260322	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141212_41_A1', age: 'Day 1-5'
21	LH258	GMR_21D06_BB_21	GMR_37F05_AV_01	Female	Brain	20141212_41_C3	20x	2092815347815022690	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_IS04955	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH258_Brain_2019_20141212_41_C3_20x	20x-Brain-2092815347815022690	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141212_41_C3', age: 'Day 1-5'
23	LH259	GMR_93F07_XA_21	GMR_37F05_AV_01	Female	Brain	20141212_41_C5	20x	2092815379721093218	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_IS15285	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH259_Brain_2019_20141212_41_C5_20x	20x-Brain-2092815379721093218	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141212_41_C5', age: 'Day 1-5'
25	LH260	GMR_46E07_XA_21	GMR_38F08_AV_01	Female	Brain	20141212_41_D2	20x	2092815415481729122	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_IS15267	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH260_Brain_2019_20141212_41_D2_20x	20x-Brain-2092815415481729122	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141212_41_D2', age: 'Day 1-5'
26	LH168	GMR_46A08_BB_21	GMR_25B07_AV_01	Female	Brain	20141212_41_F1	20x	2092815528593719394	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_IS15296	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH168_Brain_2019_20141212_41_F1_20x	20x-Brain-2092815528593719394	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141212_41_F1', age: 'Day 1-5'
28	LH85	GMR_50H07_XA_21	GMR_16H04_AV_01	Female	Brain	20141212_41_F5	20x	2092815568502521954	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_IS15297	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH85_Brain_2019_20141212_41_F5_20x	20x-Brain-2092815568502521954	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141212_41_F5', age: 'Day 1-5'
30	LH166	GMR_31D07_BB_21	GMR_25B07_AV_01	Female	Brain	20141219_42_B5	20x	2094604460230705250	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_IS15293	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH166_Brain_2019_20141219_42_B5_20x	20x-Brain-2094604460230705250	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141219_42_B5', age: 'Day 1-5'
32	LH180	GMR_24C08_XA_21	GMR_30E03_XD_01	Female	Brain	20141219_42_C5	20x	2094604469693055074	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_IS15290	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH180_Brain_2019_20141219_42_C5_20x	20x-Brain-2094604469693055074	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141219_42_C5', age: 'Day 1-5'
34	LH279	GMR_70G05_BB_21	GMR_41H09_AV_01	Female	Brain	20141219_42_F4	20x	2094604501284552802	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_IS15300	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH279_Brain_2019_20141219_42_F4_20x	20x-Brain-2094604501284552802	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141219_42_F4', age: 'Day 1-5'
35	LH141	GMR_79C09_XA_21	GMR_22A12_AV_01	Female	Brain	20141212_42_F5	20x	2094604375107305570	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_IS15301	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH141_Brain_2019_20141212_42_F5_20x	20x-Brain-2094604375107305570	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141212_42_F5', age: 'Day 1-5'
37	LH272	GMR_14E05_BB_21	GMR_41H09_AV_01	Female	Brain	20141219_41_D1	20x	2094604408745623650	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_IS15287	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH272_Brain_2019_20141219_41_D1_20x	20x-Brain-2094604408745623650	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141219_41_D1', age: 'Day 1-5'
39	LH263	GMR_14B11_XA_21	GMR_38F08_AV_01	Female	Brain	20141219_41_G5	20x	2094604442115506274	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_IS03671	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH263_Brain_2019_20141219_41_G5_20x	20x-Brain-2094604442115506274	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20141219_41_G5', age: 'Day 1-5'
41	LH163	GMR_16C09_BB_21	GMR_25B07_AV_01	Female	Brain	20150123_41_A1	20x	2113432790291710050	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_SS03224	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH163_Brain_2019_20150123_41_A1_20x	20x-Brain-2113432790291710050	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150123_41_A1', age: 'Day 1-5'
43	LH173	GMR_16C09_BB_21	GMR_28A10_XD_01	Female	Brain	20150123_41_A2	20x	2113432792044929122	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_SS03225	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH173_Brain_2019_20150123_41_A2_20x	20x-Brain-2113432792044929122	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150123_41_A2', age: 'Day 1-5'
45	LH206	GMR_70G02_XA_21	GMR_31D07_AV_01	Female	Brain	20150123_41_A4	20x	2113432795803025506	brain	Day 1-5	1	UAS_Chrimson_Venus_X_0070	JRC_SS03227	Plan-Apochromat 20x/0.8 M27	DPX PBS Mounting	UAS_Chrimson_Venus_X_0070	20XUAS-CsChrimson-mVenus trafficked in attP18	JRC_LH206_Brain_2019_20150123_41_A4_20x	20x-Brain-2113432795803025506	female organism|adult brain	JRC2018Unisex_c	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150123_41_A4', age: 'Day 1-5'
